VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,cbd_congestion_fee,source_month,source_file
1,2025-07-30 14:10:11,2025-07-30 14:23:25,N,1.0,166,74,1.0,1.9,12.1,0.0,1.5,3.0,0.0,,1.0,16.6,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-16 14:05:15,2025-07-16 14:24:28,N,1.0,166,238,1.0,2.63,19.1,0.0,0.5,2.65,0.0,,1.0,26.0,1.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-29 20:50:49,2025-07-29 21:14:27,N,1.0,223,45,1.0,11.08,45.0,1.0,0.5,0.0,0.0,,1.0,51.0,2.0,1.0,2.75,0.75,7,green_tripdata_2025-07.parquet
2,2025-07-10 17:55:00,2025-07-10 18:52:30,N,1.0,33,263,1.0,9.5,51.3,2.5,0.5,11.61,0.0,,1.0,69.66,1.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-16 16:50:09,2025-07-16 17:34:24,N,1.0,97,29,1.0,10.26,50.6,2.5,0.5,10.92,0.0,,1.0,65.52,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-27 17:09:17,2025-07-27 17:17:56,N,1.0,74,41,1.0,1.52,10.7,0.0,0.5,2.44,0.0,,1.0,14.64,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
1,2025-07-20 23:37:07,2025-07-20 23:42:40,N,1.0,210,108,1.0,1.2,7.9,1.0,1.5,1.0,0.0,,1.0,11.4,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-02 22:28:32,2025-07-02 22:37:06,N,1.0,75,238,1.0,1.76,10.7,1.0,0.5,3.99,0.0,,1.0,19.94,1.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-01 16:02:34,2025-07-01 16:08:59,N,1.0,43,238,1.0,1.11,8.6,2.5,0.5,2.52,0.0,,1.0,15.12,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-16 13:36:33,2025-07-16 13:51:13,N,1.0,95,258,1.0,2.17,15.6,0.0,0.5,0.0,0.0,,1.0,17.1,2.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-25 14:21:00,2025-07-25 14:38:00,,,19,130,,4.39,19.73,0.0,0.5,0.0,0.0,,1.0,21.23,,,,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-25 23:58:41,2025-07-26 00:09:25,N,1.0,82,56,1.0,0.0,10.0,1.0,0.5,0.0,0.0,,1.0,12.5,2.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
1,2025-07-22 09:13:51,2025-07-22 09:37:48,N,1.0,74,263,1.0,2.6,18.4,2.75,1.5,1.0,0.0,,1.0,23.65,1.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-12 11:10:25,2025-07-12 11:31:49,N,1.0,74,142,1.0,4.43,24.0,0.0,0.5,7.06,0.0,,1.0,35.31,1.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-12 02:13:36,2025-07-12 02:38:06,N,1.0,157,79,1.0,5.63,29.6,1.0,0.5,7.12,0.0,,1.0,42.72,1.0,1.0,2.75,0.75,7,green_tripdata_2025-07.parquet
2,2025-07-31 11:49:00,2025-07-31 12:03:00,,,41,75,,1.9,16.04,0.0,0.5,4.38,0.0,,1.0,21.92,,,,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-06 16:54:53,2025-07-06 16:59:34,N,1.0,75,238,1.0,0.87,7.2,0.0,0.5,1.74,0.0,,1.0,10.44,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
6,2025-07-16 09:09:16,2025-07-16 09:55:59,,,171,237,,12.1,2.9,0.0,0.5,0.0,0.0,,0.3,36.96,,,,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-30 11:30:47,2025-07-30 12:09:42,N,1.0,97,25,1.0,4.04,32.4,0.0,0.5,0.0,0.0,,1.0,33.9,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-27 12:43:58,2025-07-27 13:04:57,N,1.0,74,239,1.0,3.47,21.2,0.0,0.5,5.09,0.0,,1.0,30.54,1.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-13 16:53:29,2025-07-13 17:04:26,N,1.0,74,262,1.0,2.43,13.5,0.0,0.5,4.44,0.0,,1.0,22.19,1.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-21 09:48:56,2025-07-21 09:58:04,N,1.0,33,40,1.0,1.4,10.0,0.0,0.5,2.3,0.0,,1.0,13.8,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
